MT-TF	ENSG00000210049
DLEU2	ENSG00000231607
SLC30A6P1	ENSG00000232277
LINC01851	ENSG00000233605
RACK1P2	ENSG00000270677
HOMER1	ENSG00000152413
GCFC2	ENSG00000005436
SNORD13E	ENSG00000238311
MIR4511	ENSG00000264737
CA6	ENSG00000131686
RAB11A	ENSG00000103769
MFSD14C	ENSG00000196312
TMUB1	ENSG00000164897
DNPH1	ENSG00000112667
GLA	ENSG00000102393
CYP2T1P	ENSG00000233622
CEACAM6	ENSG00000086548
TCEA1P1	ENSG00000197214
GAS2L1P2	ENSG00000228376
AGAP3	ENSG00000133612
TTBK1	ENSG00000146216
VN1R51P	ENSG00000228038
FAM220CP	ENSG00000213612
HNRNPA1P44	ENSG00000249271
ANKRD18CP	ENSG00000159712
U6	ENSG00000283249
Y_RNA	ENSG00000201084
EIF5AP3	ENSG00000267346
RNU6-798P	ENSG00000252721
H3P23	ENSG00000250705
ZNF322P1	ENSG00000188801
ZNF507	ENSG00000168813
RNU6-18P	ENSG00000207257
ITIH4	ENSG00000055955
RPL22P3	ENSG00000226457
SUGT1P4	ENSG00000254483
FSTL4	ENSG00000053108
LRRC38	ENSG00000162494
DNM1P31	ENSG00000261491
CTSV	ENSG00000136943
RN7SL185P	ENSG00000275776
KCNQ5-DT	ENSG00000285844
NMNAT1	ENSG00000173614
MIR4282	ENSG00000266180
KNOP1P4	ENSG00000232422
PGAM1P10	ENSG00000220515
KCNQ5-AS1	ENSG00000229154
ULK4P1	ENSG00000261279
RBPMS2P1	ENSG00000234025
KHDC1P1	ENSG00000251360
U8	ENSG00000206987
KHDC1L	ENSG00000256980
DNM1P32	ENSG00000261708
SUV39H1	ENSG00000101945
LINC00462	ENSG00000233610
GOLGA8O	ENSG00000206127
KHDC1-AS1	ENSG00000229852
MTATP6P1	ENSG00000248527
CAMTA1-AS2	ENSG00000237728
SMIM2-AS1	ENSG00000227258
RPSAP41	ENSG00000239626
EIF3EP1	ENSG00000234882
MFFP1	ENSG00000215720
SDCBP2P1	ENSG00000223389
PAICSP3	ENSG00000226840
PRAMEF18	ENSG00000279804
DPPA5	ENSG00000203909
KHDC3L	ENSG00000203908
LINC02147	ENSG00000249797
PGAM1P11	ENSG00000233623
RNU6-1056P	ENSG00000206723
GLOD5	ENSG00000171433
OOEP-AS1	ENSG00000231332
CCDC27	ENSG00000162592
EGFLAM-AS4	ENSG00000248730
RPL39P3	ENSG00000235174
RPS6P8	ENSG00000224221
PLAUR	ENSG00000011422
DDX43	ENSG00000080007
LINC01455	ENSG00000250888
RNU6-29P	ENSG00000207367
GATA1	ENSG00000102145
RPPH1-2P	ENSG00000252497
CHURC1-FNTB	ENSG00000125954
THBS4	ENSG00000113296
MIPEPP3	ENSG00000233325
RN7SL539P	ENSG00000274076
PCCA-DT	ENSG00000274605
CHD5	ENSG00000116254
PRECSIT	ENSG00000255874
HDAC6	ENSG00000094631
ATP6V1C2	ENSG00000143882
KHDRBS2-OT1	ENSG00000250686
CSPG4P13	ENSG00000260139
KHDRBS2	ENSG00000112232
LINC00621	ENSG00000262619
GUSBP14	ENSG00000253816
RAB15	ENSG00000139998
C6orf132	ENSG00000188112
LINC01609	ENSG00000253103
OR13C6P	ENSG00000179443
OR13C7	ENSG00000243641
OR2AM1P	ENSG00000236110
RECK	ENSG00000122707
GUCA1B	ENSG00000112599
SNORA54	ENSG00000207008
NNT	ENSG00000112992
RPL23AP65	ENSG00000243964
DNAJC3-DT	ENSG00000247400
MRPS10	ENSG00000048544
SLC25A32	ENSG00000164933
SWAP70	ENSG00000133789
CRYBG1	ENSG00000112297
RN7SL214P	ENSG00000242066
COMMD4P1	ENSG00000214646
ADAMTS7P3	ENSG00000261143
RPSAP48	ENSG00000240590
LINC01798	ENSG00000232046
SNORA63	ENSG00000199633
CYP2F2P	ENSG00000237118
RRS1-DT	ENSG00000246145
CIB2	ENSG00000136425
LINC01801	ENSG00000267767
SGO1-AS1	ENSG00000231304
CAPZBP1	ENSG00000231723
MTERF3	ENSG00000156469
RPL21P36	ENSG00000233752
NLRP11	ENSG00000179873
FNTB	ENSG00000257365
Y_RNA	ENSG00000207499
RNA5SP211	ENSG00000202386
LINC00606	ENSG00000226567
Y_RNA	ENSG00000200314
UBAC2-AS1	ENSG00000228889
LINC01808	ENSG00000237992
CLTA	ENSG00000122705
RTN4IP1	ENSG00000130347
RN7SKP50	ENSG00000201564
LINC02709	ENSG00000245522
FBLN2	ENSG00000163520
SBF2-AS1	ENSG00000246273
LINC01799	ENSG00000230525
ASB10	ENSG00000146926
RNU6-527P	ENSG00000200295
QRSL1	ENSG00000130348
WDR4P2	ENSG00000229462
RNU7-28P	ENSG00000252568
LINC00390	ENSG00000226519
DNAH6	ENSG00000115423
RPL21P65	ENSG00000216977
LINC02526	ENSG00000229654
ADM-DT	ENSG00000254554
RNU6-117P	ENSG00000202285
MIR587	ENSG00000207577
SNORA40C	ENSG00000212587
RNU6-1115P	ENSG00000199360
CNN2P9	ENSG00000213149
ADM	ENSG00000148926
IQCA1L	ENSG00000278685
AMD1	ENSG00000123505
VAMP3	ENSG00000049245
IL17C	ENSG00000124391
ABCF2	ENSG00000033050
MAX	ENSG00000125952
IDH3A	ENSG00000166411
MLXIP	ENSG00000175727
ZNF276	ENSG00000158805
CFAP418	ENSG00000156172
CPB2-AS1	ENSG00000235903
FLJ37453	ENSG00000179743
RPS29P26	ENSG00000239320
PRAMEF29P	ENSG00000234064
SLC25A1P5	ENSG00000267323
PPIAP85	ENSG00000254103
HAUS5-DT	ENSG00000267626
DISP3	ENSG00000204624
DSCC1	ENSG00000136982
CEACAM3	ENSG00000170956
GNE	ENSG00000159921
REXO1L2P	ENSG00000276998
RNU6ATAC33P	ENSG00000221574
MRPL13	ENSG00000172172
MTRNR2L8	ENSG00000255823
MIR4485	ENSG00000283813
RNF141	ENSG00000110315
MIR7154	ENSG00000276639
HERPUD2	ENSG00000122557
DPY19L3	ENSG00000178904
ITIH1	ENSG00000055957
GTF3C6	ENSG00000155115
MTND1P5	ENSG00000253795
LAPTM4A	ENSG00000068697
RPF2	ENSG00000197498
CCN3	ENSG00000136999
CLSTN1	ENSG00000171603
FBXO31	ENSG00000103264
HERPUD2-AS1	ENSG00000271122
AMDHD1	ENSG00000139344
NRBF2P4	ENSG00000253228
GSTM2P1	ENSG00000218803
RNU6-824P	ENSG00000200594
MIR1273C	ENSG00000264814
U8	ENSG00000238963
LINC02690	ENSG00000255226
RSBN1L	ENSG00000187257
TFB1M	ENSG00000029639
SLC35C1	ENSG00000181830
SYBU	ENSG00000147642
PAH	ENSG00000171759
LINC01800	ENSG00000234572
CLDN20	ENSG00000171217
CRY2	ENSG00000121671
DYNLRB2	ENSG00000168589
MTCO3P45	ENSG00000232128
NOX3	ENSG00000074771
IGKV2OR2-2	ENSG00000271402
RPL34P8	ENSG00000237583
HMGB3P24	ENSG00000215283
RPL37P12	ENSG00000237916
PPP6C	ENSG00000119414
RN7SKP186	ENSG00000202241
DDR1-DT	ENSG00000237775
SOX21-AS1	ENSG00000227640
MIR4640	ENSG00000284370
MEIS1	ENSG00000143995
GTF2H4	ENSG00000213780
TMEM60	ENSG00000135211
MIR4706	ENSG00000266531
PRPS1P2	ENSG00000232630
PHTF2	ENSG00000006576
DYNLRB2-AS1	ENSG00000259867
LINC00404	ENSG00000229520
RPSAP76	ENSG00000235332
RABEPK	ENSG00000136933
NLRP4	ENSG00000160505
TPTE2P1	ENSG00000253771
MRPL52	ENSG00000172590
RPL5P3	ENSG00000242276
THSD4-AS1	ENSG00000259964
PTPRG-AS1	ENSG00000241472
CTCF	ENSG00000102974
HSPA5	ENSG00000044574
HMGB1P6	ENSG00000259781
DNM1P41	ENSG00000280038
UBE2Q2L	ENSG00000259511
MMEL1	ENSG00000142606
CSPG4P11	ENSG00000259726
MAPK8IP1	ENSG00000121653
GOLGA2P7	ENSG00000225151
A1BG	ENSG00000121410
NOPCHAP1	ENSG00000151131
RNU6-1020P	ENSG00000200554
OXSR1	ENSG00000172939
Metazoa_SRP	ENSG00000274510
RNA5SP281	ENSG00000252313
SLC25A5P8	ENSG00000225347
ACO1	ENSG00000122729
IRGC	ENSG00000124449
OR8S21P	ENSG00000273434
NACAP8	ENSG00000257210
CEACAM16	ENSG00000213892
SUDS3	ENSG00000111707
RN7SL331P	ENSG00000278422
UBE2Q2P8	ENSG00000259633
SFTA2	ENSG00000196260
C11orf94	ENSG00000234776
HNRNPA1P52	ENSG00000269119
RN7SL417P	ENSG00000244056
PEX16	ENSG00000121680
DNM1P51	ENSG00000235370
Y_RNA	ENSG00000252761
MUCL3	ENSG00000168631
KRCC1	ENSG00000172086
ZFP36L1	ENSG00000185650
CSPG4P5	ENSG00000272887
UBE2Q2P11	ENSG00000259538
SMG9	ENSG00000105771
Metazoa_SRP	ENSG00000278785
GGCTP3	ENSG00000225842
WDR76	ENSG00000092470
FAM110C	ENSG00000184731
HCG21	ENSG00000233529
NAPGP2	ENSG00000275906
MYF5	ENSG00000111049
MUC21	ENSG00000204544
RPL22P11	ENSG00000233707
CCDC196	ENSG00000196553
FBXO48	ENSG00000204923
MUC22	ENSG00000261272
BBS10	ENSG00000179941
LINC01964	ENSG00000260840
RNU6-1133P	ENSG00000222895
C6orf15	ENSG00000204542
LINC02825	ENSG00000256494
CREG2	ENSG00000175874
PSORS1C1	ENSG00000204540
RPL23AP67	ENSG00000240991
PRCPP1	ENSG00000232556
CRADD	ENSG00000169372
OTX1	ENSG00000115507
TCF7	ENSG00000081059
VENTXP7	ENSG00000236380
CDSN	ENSG00000204539
ESRG	ENSG00000265992
LARGE2	ENSG00000165905
SCNN1D	ENSG00000162572
PSORS1C2	ENSG00000204538
KIF15	ENSG00000163808
POLR2LP1	ENSG00000238211
TCF19	ENSG00000137310
Y_RNA	ENSG00000200391
PIN4P1	ENSG00000227973
STRCP1	ENSG00000166763
ZDHHC22	ENSG00000177108
UBXN2A	ENSG00000173960
FAM204DP	ENSG00000258552
CYP2A6	ENSG00000255974
MIR1260A	ENSG00000221754
LINC02182	ENSG00000260420
TPM1	ENSG00000140416
GSTZ1	ENSG00000100577
CYBA	ENSG00000051523
PSORS1C3	ENSG00000204528
CCDC60	ENSG00000183273
TCF7L1-IT1	ENSG00000231134
MTCO1P48	ENSG00000237055
VARS2	ENSG00000137411
A1BG-AS1	ENSG00000268895
FBLIM1P2	ENSG00000254871
LINC02710	ENSG00000255269
GPR45	ENSG00000135973
CREB3L1	ENSG00000157613
PPP1R21-DT	ENSG00000272663
NKAIN1P2	ENSG00000271627
MZF1	ENSG00000099326
TESC-AS1	ENSG00000258285
TSPYL6	ENSG00000178021
ANKRD20A8P	ENSG00000229089
NUDT4	ENSG00000173598
NDUFB6	ENSG00000165264
DBF4P3	ENSG00000271097
LINC01885	ENSG00000237880
LINC01805	ENSG00000223863
ADGRG5	ENSG00000159618
DGKZ	ENSG00000149091
Y_RNA	ENSG00000222432
DDX3ILA1	ENSG00000232756
DFFBP1	ENSG00000232303
TAF1L	ENSG00000122728
ALK	ENSG00000171094
RPL13AP17	ENSG00000231322
SNRPCP1	ENSG00000238001
DDX58	ENSG00000107201
MAGI2-AS1	ENSG00000251276
ECH1	ENSG00000104823
MAGI2-AS2	ENSG00000226978
RNU6-337P	ENSG00000212545
LINC01414	ENSG00000253554
TMEM51	ENSG00000171729
RNU6-530P	ENSG00000212482
NUP35P2	ENSG00000226285
ERAS	ENSG00000187682
PCSK1N	ENSG00000102109
SUMO2P20	ENSG00000253721
MAGI2	ENSG00000187391
TMEM74	ENSG00000164841
FBXO32	ENSG00000156804
PQBP1	ENSG00000102103
GALNS	ENSG00000141012
C1orf127	ENSG00000175262
TCP11L2	ENSG00000166046
WASH9P	ENSG00000279457
MRPL15	ENSG00000137547
ZNF790-AS1	ENSG00000267254
TTLL10	ENSG00000162571
C3orf18	ENSG00000088543
CDKL3	ENSG00000006837
BCL3	ENSG00000069399
PTPRT	ENSG00000196090
TOPORS	ENSG00000197579
TMED8	ENSG00000100580
NOTCH1	ENSG00000148400
PIEZO1	ENSG00000103335
NUDT14	ENSG00000183828
DBX2	ENSG00000185610
RPL39P6	ENSG00000238173
SBF1P1	ENSG00000248522
TPRG1L	ENSG00000158109
BLOC1S3	ENSG00000189114
DRAM1	ENSG00000136048
ZNF572	ENSG00000180938
SMIM4	ENSG00000168273
GTF3C4	ENSG00000125484
FBXO42	ENSG00000037637
ZNF652P1	ENSG00000235278
LYPD4	ENSG00000273111
TUSC2	ENSG00000114383
AK8	ENSG00000165695
TIMM17B	ENSG00000126768
LYPLA1	ENSG00000120992
RN7SKP92	ENSG00000253075
LINC02451	ENSG00000257164
C1QTNF12	ENSG00000184163
HMGN1P17	ENSG00000250787
BNIP3P1	ENSG00000197358
LINC02030	ENSG00000240708
SRRM4	ENSG00000139767
TDRD12	ENSG00000173809
RPL26P3	ENSG00000240179
RNF7P1	ENSG00000239831
LINC01339	ENSG00000248555
LINC02327	ENSG00000258038
PTPRG	ENSG00000144724
SPACA9	ENSG00000165698
CTNNA1-AS1	ENSG00000253404
ATG10-AS1	ENSG00000248192
KRT18P16	ENSG00000235275
ALDH4A1	ENSG00000159423
RBBP4P6	ENSG00000248674
EPIST	ENSG00000249082
S100Z	ENSG00000171643
TSPAN8	ENSG00000127324
HMGCS1	ENSG00000112972
TSC1	ENSG00000165699
LINC02326	ENSG00000257523
SLC35A2	ENSG00000102100
LINC02019	ENSG00000273356
RNU6-864P	ENSG00000252065
CABLES2	ENSG00000149679
ZDHHC3	ENSG00000163812
HAUS5	ENSG00000249115
CA7	ENSG00000168748
LRP1	ENSG00000123384
ILRUNP1	ENSG00000227513
DUXAP1	ENSG00000259056
RNU11-5P	ENSG00000212518
LINC01831	ENSG00000225765
LINC00654	ENSG00000205181
RNU6-1234P	ENSG00000252686
HSPA2-AS1	ENSG00000259116
MAP1B	ENSG00000131711
TGFA	ENSG00000163235
PPP1R36	ENSG00000165807
LINC01229	ENSG00000260876
LINC01370	ENSG00000237767
LINC00494	ENSG00000235621
RERE	ENSG00000142599
STIMATE-MUSTN1	ENSG00000248592
NUP50P1	ENSG00000259010
PLEKHG3	ENSG00000126822
ZNF497	ENSG00000174586
DLGAP4-AS1	ENSG00000232907
ZMYND10-AS1	ENSG00000235058
SALL4P5	ENSG00000231915
ILF2P1	ENSG00000244226
GGCT	ENSG00000006625
ACTG1P22	ENSG00000271615
PDE12	ENSG00000174840
LINC00602	ENSG00000281832
CYP2G1P	ENSG00000130612
GAPDHP72	ENSG00000216624
RNU6-153P	ENSG00000201292
RPL5P10	ENSG00000234067
RASSF1-AS1	ENSG00000281358
MIR4688	ENSG00000264102
LINC00237	ENSG00000225127
RPL31P61	ENSG00000243297
GNG5P1	ENSG00000213536
DLEC1P1	ENSG00000230123
VWA3B	ENSG00000168658
PRR18	ENSG00000176381
FAM76B	ENSG00000077458
LILRP2	ENSG00000170858
SFT2D1	ENSG00000198818
OXNAD1	ENSG00000154814
OCLNP1	ENSG00000230847
COX4I1	ENSG00000131143
HAMP	ENSG00000105697
CEP250-AS1	ENSG00000230155
LINC02224	ENSG00000249203
TH2LCRR	ENSG00000223442
CRHR2	ENSG00000106113
CYP2A7P2	ENSG00000198251
ZNF749	ENSG00000186230
HNRNPA1P49	ENSG00000233231
MPC1	ENSG00000060762
COX6B1	ENSG00000126267
MPC1-DT	ENSG00000261420
SPTB	ENSG00000070182
ESM1	ENSG00000164283
RPS6KA2-IT1	ENSG00000232082
MIR1913	ENSG00000222958
TBXT	ENSG00000164458
LINCADL	ENSG00000287148
SV2C-AS1	ENSG00000248127
LAMTOR3P2	ENSG00000248979
COQ10BP2	ENSG00000251552
PSD2-AS1	ENSG00000249131
LINC01950	ENSG00000251027
PIM2	ENSG00000102096
MAP3K10	ENSG00000130758
LINC01332	ENSG00000250446
PRELID3BP8	ENSG00000270741
CEP57	ENSG00000166037
CRHBP	ENSG00000145708
LINC00917	ENSG00000168367
OTUD5	ENSG00000068308
ARMC12	ENSG00000157343
FER1L6-AS1	ENSG00000181171
RPL10P12	ENSG00000234040
LINC02910	ENSG00000176659
CASC11	ENSG00000249375
PBRM1	ENSG00000163939
CFAP251	ENSG00000158023
MRPS36P3	ENSG00000253814
DMRTC2	ENSG00000142025
TP53BP1	ENSG00000067369
LINC01275	ENSG00000237595
MATN2	ENSG00000132561
RGMB	ENSG00000174136
MIR646HG	ENSG00000228340
C6orf89	ENSG00000198663
LINC02189	ENSG00000260026
LINC02560	ENSG00000268307
ACTBP4	ENSG00000286676
RNU6-722P	ENSG00000223309
KCND1	ENSG00000102057
RPL31P60	ENSG00000239988
LINC01170	ENSG00000253807
MIR7855	ENSG00000284269
GARS1	ENSG00000106105
COX7A1	ENSG00000161281
HCCAT5	ENSG00000260880
CCL28	ENSG00000151882
POMT2	ENSG00000009830
GRIPAP1	ENSG00000068400
CDH8-AS1	ENSG00000260115
NCOR2	ENSG00000196498
HSD17B2	ENSG00000086696
CLCN6	ENSG00000011021
SRSF7	ENSG00000115875
ZNF837	ENSG00000152475
ANKRD55	ENSG00000164512
RNA5SP345	ENSG00000222578
RPL32P25	ENSG00000242993
KIR2DL3	ENSG00000243772
EFEMP2	ENSG00000172638
LINC02135	ENSG00000268532
IGFL1P2	ENSG00000268238
MRS2	ENSG00000124532
RPSAP56	ENSG00000284670
UBE2FP2	ENSG00000261199
KIR2DP1	ENSG00000242473
DUXAP11	ENSG00000270222
CX3CL1	ENSG00000006210
PEPD	ENSG00000124299
TRPC7-AS1	ENSG00000248211
CTNNA1P1	ENSG00000249026
SPATA9	ENSG00000145757
CFDP1	ENSG00000153774
YAE1	ENSG00000241127
PPP4R1L	ENSG00000124224
OR7H2P	ENSG00000251261
SEMA6A-AS1	ENSG00000248445
GUSBP9	ENSG00000215630
RALA	ENSG00000006451
LINC01812	ENSG00000237013
LINC02125	ENSG00000250514
HMGB3P11	ENSG00000213301
PTCD2	ENSG00000049883
LDHAP7	ENSG00000235847
PDXDC2P-NPIPB14P	ENSG00000196696
TTC34	ENSG00000215912
SLC9B1P2	ENSG00000214329
BEND3	ENSG00000178409
RNU6-719P	ENSG00000252480
PREP	ENSG00000085377
CICP22	ENSG00000226220
SSBP3P1	ENSG00000233225
PRAMEF2	ENSG00000120952
LINC00265	ENSG00000188185
RPS24P6	ENSG00000233158
NEURL3	ENSG00000163121
PRAMEF4	ENSG00000243073
LSM1	ENSG00000175324
MIR653	ENSG00000208014
CELA2A	ENSG00000142615
MIR489	ENSG00000207656
FIBP	ENSG00000172500
CALCR	ENSG00000004948
FAM166C	ENSG00000173557
SNORA11G	ENSG00000221750
NUDT7	ENSG00000140876
FBXO43	ENSG00000156509
TRO	ENSG00000067445
TTC7A	ENSG00000068724
MIR1-1HG-AS1	ENSG00000174403
CELA2B	ENSG00000215704
SCAF8	ENSG00000213079
SDCBP	ENSG00000137575
GNAS-AS1	ENSG00000235590
LINC01727	ENSG00000279082
CTU2	ENSG00000174177
SPEN	ENSG00000065526
KIR2DL1	ENSG00000125498
LINC00659	ENSG00000228705
BUB1B	ENSG00000156970
CCDC85B	ENSG00000175602
FOSL1	ENSG00000175592
LAMA5-AS1	ENSG00000228812
RER1	ENSG00000157916
SNAP25-AS1	ENSG00000227906
C11orf68	ENSG00000175573
CILK1	ENSG00000112144
DRAP1	ENSG00000175550
MGAM	ENSG00000257335
ZNF614	ENSG00000142556
RALY-AS1	ENSG00000285230
THBS4-AS1	ENSG00000249825
HOXC12	ENSG00000123407
LINC01023	ENSG00000272523
PPIC-AS1	ENSG00000249996
OSER1-DT	ENSG00000223891
UHRF1BP1L-DT	ENSG00000257696
NCKAP1L	ENSG00000123338
SMN2	ENSG00000205571
ZNF584	ENSG00000171574
SDCBP2-AS1	ENSG00000234684
CENPW	ENSG00000203760
TSGA10IP	ENSG00000175513
PELATON	ENSG00000224397
PANK4	ENSG00000157881
CENPBD1P1	ENSG00000213753
KCNK16	ENSG00000095981
ZNF432	ENSG00000256087
SART1	ENSG00000175467
OR4N5	ENSG00000184394
POTEB	ENSG00000233917
SUMO2P19	ENSG00000253328
LINC01181	ENSG00000250929
FRG1CP	ENSG00000282826
AKT1	ENSG00000142208
NQO1	ENSG00000181019
EEF1A1P37	ENSG00000254124
DEPTOR	ENSG00000155792
MIR548AW	ENSG00000263816
RNU7-21P	ENSG00000238558
EEF1A1P5	ENSG00000196205
GFI1B	ENSG00000165702
CYP2B6	ENSG00000197408
TMEM200A	ENSG00000164484
HDDC3	ENSG00000184508
SETP7	ENSG00000257444
LAPTM4BP2	ENSG00000271266
PPIAP69	ENSG00000228337
REPS1	ENSG00000135597
SMARCC1	ENSG00000173473
NDUFS5P6	ENSG00000255531
MTND1P7	ENSG00000282321
NENFP2	ENSG00000258288
ATP2B1-AS1	ENSG00000271614
POU6F2	ENSG00000106536
DDX11L5	ENSG00000236875
C5AR2	ENSG00000134830
WRAP73	ENSG00000116213
UBXN2B	ENSG00000215114
WASHC1	ENSG00000181404
EIF1AD	ENSG00000175376
NANOGP8	ENSG00000255192
CCNP	ENSG00000105219
RBM38-AS1	ENSG00000218018
LINC00261	ENSG00000259974
MIR1302-9HG	ENSG00000227518
SEMA6D	ENSG00000137872
GALNT9	ENSG00000182870
LINC02058	ENSG00000248528
MIR1302-9	ENSG00000283921
FAM138C	ENSG00000218839
APRT	ENSG00000198931
CCT5P1	ENSG00000250444
SNHG11	ENSG00000174365
RBX1P2	ENSG00000251050
RPS19	ENSG00000105372
MTCYBP18	ENSG00000244921
MARCHF3	ENSG00000173926
LINC01388	ENSG00000231808
FOXD4	ENSG00000170122
PTK2B	ENSG00000120899
PPEF1	ENSG00000086717
ARPC1B	ENSG00000130429
MAPK10-AS1	ENSG00000250062
CBWD1	ENSG00000172785
RPL5P17	ENSG00000243859
RN7SKP96	ENSG00000252757
MIR4452	ENSG00000266515
PSD2	ENSG00000146005
GABRA2	ENSG00000151834
TMEM274P	ENSG00000283611
FOXL1	ENSG00000176678
CRTAP	ENSG00000170275
ZFP1	ENSG00000184517
KIR3DP1	ENSG00000264257
TPRX2P	ENSG00000259009
BANF1	ENSG00000175334
PINLYP	ENSG00000234465
LINC02040	ENSG00000243149
ZFHX3	ENSG00000140836
MCRS1	ENSG00000187778
BASP1	ENSG00000176788
IGKV1OR2-3	ENSG00000204670
CNTN4	ENSG00000144619
APLF	ENSG00000169621
LINC01595	ENSG00000259108
VPS13D	ENSG00000048707
CST6	ENSG00000175315
TRPC7-AS2	ENSG00000250947
TOMM40P3	ENSG00000249360
TMEM171	ENSG00000157111
CATSPER1	ENSG00000175294
CD79A	ENSG00000105369
C5orf15	ENSG00000113583
GAL3ST3	ENSG00000175229
SUPT20HL2	ENSG00000223611
MTCYBP39	ENSG00000226341
CDH12P2	ENSG00000249230
SNRPEP9	ENSG00000214124
PDK3	ENSG00000067992
PGGT1B	ENSG00000164219
TMEM87B	ENSG00000153214
GPI	ENSG00000105220
SF3B2	ENSG00000087365
USB1	ENSG00000103005
OR4E2	ENSG00000221977
MIR624	ENSG00000207952
BTBD6	ENSG00000184887
PRKCIP1	ENSG00000237682
ARMCX1	ENSG00000126947
CTAGE6	ENSG00000271321
OR11H4	ENSG00000176198
SAPCD2P3	ENSG00000232491
ARMCX7P	ENSG00000204072
RPL35P5	ENSG00000225573
ARMCX6	ENSG00000198960
SMAD5	ENSG00000113658
ATL1	ENSG00000198513
GTF2IP23	ENSG00000230295
EMX1	ENSG00000135638
RNU6-1254P	ENSG00000212568
LINC02604	ENSG00000273142
Metazoa_SRP	ENSG00000274135
ARMCX3	ENSG00000102401
GIMAP2	ENSG00000106560
CTBP1	ENSG00000159692
GIMAP1	ENSG00000213203
LINC02831	ENSG00000224173
GIMAP1-GIMAP5	ENSG00000281887
GIMAP3P	ENSG00000177590
BET1P1	ENSG00000241134
TMEM176B	ENSG00000106565
VN2R10P	ENSG00000226348
RFWD3	ENSG00000168411
COCH	ENSG00000100473
ARMCX3-AS1	ENSG00000228275
HYAL2	ENSG00000068001
RNU6-30P	ENSG00000207291
MIR1-1HG	ENSG00000174407
ARMCX2	ENSG00000184867
PPP1R21	ENSG00000162869
RNF180	ENSG00000164197
RPL7AP23	ENSG00000241367
TMPOP2	ENSG00000262904
SPATA12	ENSG00000186451
CDKN2AIPNL	ENSG00000237190
TMEM176A	ENSG00000002933
ZNRF1	ENSG00000186187
KLC2-AS1	ENSG00000254855
KLC2-AS2	ENSG00000254762
SALL4P6	ENSG00000231280
RAB1B	ENSG00000174903
PRICKLE2-AS3	ENSG00000226017
VDAC1P7	ENSG00000213450
GZMA	ENSG00000145649
MTND6P3	ENSG00000254132
ABHD5	ENSG00000011198
MHENCR	ENSG00000232442
ZCCHC10	ENSG00000155329
CNIH2	ENSG00000174871
NRN1L	ENSG00000188038
LINC01431	ENSG00000232645
RNU6-587P	ENSG00000212584
PAICS	ENSG00000128050
ZRSR2	ENSG00000169249
LINC02419	ENSG00000256906
LINC02372	ENSG00000249873
SDR42E1	ENSG00000184860
MEIKIN	ENSG00000239642
SNHG17	ENSG00000196756
YIF1A	ENSG00000174851
UTP20	ENSG00000120800
ADAMTS18	ENSG00000140873
Y_RNA	ENSG00000252115
RNA5SP239	ENSG00000222150
ST7-AS1	ENSG00000227199
BHMT	ENSG00000145692
ST7-OT4	ENSG00000214188
NUP210	ENSG00000132182
ARMCX4	ENSG00000196440
TPM3P1	ENSG00000213050
MIR6132	ENSG00000283923
ST7-AS2	ENSG00000226367
YTHDC2	ENSG00000047188
FABP7P2	ENSG00000235129
ANAPC1P5	ENSG00000275597
EIF5P1	ENSG00000215319
HMGN1P33	ENSG00000230326
Y_RNA	ENSG00000206844
CLDN34	ENSG00000234469
RSL24D1P2	ENSG00000230595
WWC3-AS1	ENSG00000225076
KRTCAP2P1	ENSG00000231848
MTND4P6	ENSG00000224042
TCEAL2	ENSG00000184905
FTO	ENSG00000140718
MTCYBP6	ENSG00000230605
TMEM151A	ENSG00000179292
Y_RNA	ENSG00000201354
RN7SL771P	ENSG00000240173
CKM	ENSG00000104879
ADCK2	ENSG00000133597
TCEAL6	ENSG00000204071
CD248	ENSG00000174807
CLDN22	ENSG00000177300
DTHD1	ENSG00000197057
RIN1	ENSG00000174791
TSGA10	ENSG00000135951
BEX5	ENSG00000184515
FAM120B	ENSG00000112584
LRSAM1	ENSG00000148356
TSC22D3	ENSG00000157514
RPS5	ENSG00000083845
LGR5	ENSG00000139292
ATP6V1C1	ENSG00000155097
NDUFB2	ENSG00000090266
STRN3	ENSG00000196792
BRMS1	ENSG00000174744
TLR2	ENSG00000137462
GPATCH11P1	ENSG00000182921
CTDSPL	ENSG00000144677
KCNN2	ENSG00000080709
SMARCAD1	ENSG00000163104
ZNF132-DT	ENSG00000269473
NCBP2L	ENSG00000170935
CBLC	ENSG00000142273
AMMECR1	ENSG00000101935
FKBP5	ENSG00000096060
NDUFB2-AS1	ENSG00000240889
BRAF	ENSG00000157764
ZCCHC14-DT	ENSG00000288568
LINC01228	ENSG00000261082
NKRF	ENSG00000186416
ZFPM1	ENSG00000179588
HMGCLL1	ENSG00000146151
B4GAT1	ENSG00000174684
NCALD	ENSG00000104490
HIGD1AP17	ENSG00000258886
UBE2D2	ENSG00000131508
CYP2A7P1	ENSG00000213908
SLC29A2	ENSG00000174669
RPL21P5	ENSG00000258640
RNU6-541P	ENSG00000207440
Y_RNA	ENSG00000202402
FRMPD4	ENSG00000169933
Y_RNA	ENSG00000199291
SULT2A1	ENSG00000105398
COTL1	ENSG00000103187
ACTN1	ENSG00000072110
CYP2G2P	ENSG00000268101
KIR3DL1	ENSG00000167633
RARRES2P6	ENSG00000261010
HTR6	ENSG00000158748
MMP15	ENSG00000102996
SFMBT1	ENSG00000163935
