GO root	GO id	GO name	value	pval
BP	GO:0061337	cardiac conduction	18	1.0
BP	GO:0031573	intra-S DNA damage checkpoint	7	1.0
BP	GO:0035562	negative regulation of chromatin binding	4	1.0
BP	GO:0044336	canonical Wnt signaling pathway involved in negative regulation of apoptotic process	2	1.0
BP	GO:0048209	regulation of vesicle targeting, to, from or within Golgi	1	1.0
BP	GO:0060926	cardiac pacemaker cell development	1	1.0
BP	GO:0038179	neurotrophin signaling pathway	18	1.0
BP	GO:1904616	regulation of actin binding	1	1.0
BP	GO:0043249	erythrocyte maturation	5	1.0
BP	GO:0035574	histone H4-K20 demethylation	1	1.0
BP	GO:0009217	purine deoxyribonucleoside triphosphate catabolic process	2	1.0
BP	GO:0070262	peptidyl-serine dephosphorylation	6	1.0
BP	GO:0043267	negative regulation of potassium ion transport	17	1.0
BP	GO:2000822	regulation of behavioral fear response	2	1.0
BP	GO:0047496	vesicle transport along microtubule	12	1.0
BP	GO:2001302	lipoxin A4 metabolic process	1	1.0
BP	GO:0034963	box C/D snoRNA processing	1	1.0
BP	GO:0048352	paraxial mesoderm structural organization	1	1.0
BP	GO:0002042	cell migration involved in sprouting angiogenesis	12	1.0
BP	GO:0010750	positive regulation of nitric oxide mediated signal transduction	2	1.0
BP	GO:0030388	fructose 1,6-bisphosphate metabolic process	3	1.0
BP	GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	24	1.0
BP	GO:0042359	vitamin D metabolic process	5	1.0
BP	GO:0032378	negative regulation of intracellular lipid transport	1	1.0
BP	GO:0072583	clathrin-dependent endocytosis	5	1.0
BP	GO:0044324	regulation of transcription involved in anterior/posterior axis specification	1	1.0
BP	GO:0009644	response to high light intensity	1	1.0
BP	GO:1905596	negative regulation of low-density lipoprotein particle receptor binding	1	1.0
BP	GO:0098968	neurotransmitter receptor transport postsynaptic membrane to endosome	1	1.0
BP	GO:0051569	regulation of histone H3-K4 methylation	19	1.0
BP	GO:0052041	negative regulation by symbiont of host programmed cell death	3	1.0
BP	GO:0010571	positive regulation of nuclear cell cycle DNA replication	3	1.0
BP	GO:0072331	signal transduction by p53 class mediator	65	1.0
BP	GO:0003289	atrial septum primum morphogenesis	4	1.0
BP	GO:0006282	regulation of DNA repair	50	1.0
BP	GO:0098542	defense response to other organism	131	1.0
BP	GO:0003226	right ventricular compact myocardium morphogenesis	1	1.0
BP	GO:0060331	negative regulation of response to interferon-gamma	3	1.0
BP	GO:1904573	regulation of selenocysteine insertion sequence binding	1	1.0
BP	GO:0001188	RNA polymerase I preinitiation complex assembly	4	1.0
BP	GO:2000980	regulation of inner ear receptor cell differentiation	2	1.0
BP	GO:0071930	negative regulation of transcription involved in G1/S transition of mitotic cell cycle	2	1.0
BP	GO:0098924	retrograde trans-synaptic signaling by nitric oxide	1	1.0
BP	GO:0002339	B cell selection	3	1.0
BP	GO:0099606	microtubule plus-end directed mitotic chromosome migration	1	1.0
BP	GO:1990535	neuron projection maintenance	7	1.0
BP	GO:0042473	outer ear morphogenesis	5	1.0
BP	GO:0060735	regulation of eIF2 alpha phosphorylation by dsRNA	1	1.0
BP	GO:0070236	negative regulation of activation-induced cell death of T cells	2	1.0
BP	GO:0031065	positive regulation of histone deacetylation	10	1.0
BP	GO:0055008	cardiac muscle tissue morphogenesis	26	1.0
BP	GO:0015693	magnesium ion transport	1	1.0
BP	GO:1901019	regulation of calcium ion transmembrane transporter activity	21	1.0
BP	GO:0035036	sperm-egg recognition	10	1.0
BP	GO:0000380	alternative mRNA splicing, via spliceosome	8	1.0
BP	GO:0006754	ATP biosynthetic process	10	1.0
BP	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	14	1.0
BP	GO:0050713	negative regulation of interleukin-1 beta secretion	5	1.0
BP	GO:1904253	positive regulation of bile acid metabolic process	1	1.0
BP	GO:0036323	vascular endothelial growth factor receptor-1 signaling pathway	1	1.0
BP	GO:0035404	histone-serine phosphorylation	5	1.0
BP	GO:2000117	negative regulation of cysteine-type endopeptidase activity	47	1.0
BP	GO:0045071	negative regulation of viral genome replication	24	1.0
BP	GO:0006388	tRNA splicing, via endonucleolytic cleavage and ligation	2	1.0
BP	GO:0006677	glycosylceramide metabolic process	1	1.0
BP	GO:0046130	purine ribonucleoside catabolic process	2	1.0
BP	GO:0006081	cellular aldehyde metabolic process	8	1.0
BP	GO:0009083	branched-chain amino acid catabolic process	2	1.0
BP	GO:1903944	negative regulation of hepatocyte apoptotic process	1	1.0
BP	GO:0038145	macrophage colony-stimulating factor signaling pathway	2	1.0
BP	GO:0032780	negative regulation of ATPase activity	1	1.0
BP	GO:0002845	positive regulation of tolerance induction to tumor cell	1	1.0
BP	GO:0071034	CUT catabolic process	1	1.0
BP	GO:1900166	regulation of glial cell-derived neurotrophic factor secretion	1	1.0
BP	GO:0044028	DNA hypomethylation	1	1.0
BP	GO:0033008	positive regulation of mast cell activation involved in immune response	9	1.0
BP	GO:2001166	regulation of histone H2B ubiquitination	3	1.0
BP	GO:0032917	polyamine acetylation	1	1.0
BP	GO:0035705	T-helper 17 cell chemotaxis	1	1.0
BP	GO:0016584	nucleosome positioning	6	1.0
BP	GO:0051701	interaction with host	79	1.0
BP	GO:0085020	protein K6-linked ubiquitination	5	1.0
BP	GO:0071622	regulation of granulocyte chemotaxis	20	1.0
BP	GO:0018293	protein-FAD linkage	1	1.0
BP	GO:0045472	response to ether	4	1.0
BP	GO:0071352	cellular response to interleukin-2	1	1.0
BP	GO:0016197	endosomal transport	62	1.0
BP	GO:0051105	regulation of DNA ligation	3	1.0
BP	GO:0047484	regulation of response to osmotic stress	5	1.0
BP	GO:0071501	cellular response to sterol depletion	3	1.0
BP	GO:0045578	negative regulation of B cell differentiation	2	1.0
BP	GO:0006687	glycosphingolipid metabolic process	7	1.0
BP	GO:1901629	regulation of presynaptic membrane organization	1	1.0
BP	GO:0071453	cellular response to oxygen levels	63	1.0
BP	GO:0036498	IRE1-mediated unfolded protein response	16	1.0
BP	GO:0034219	carbohydrate transmembrane transport	5	1.0
BP	GO:0014832	urinary bladder smooth muscle contraction	2	1.0
BP	GO:0045407	positive regulation of interleukin-5 biosynthetic process	1	1.0
BP	GO:0031935	regulation of chromatin silencing	17	1.0
BP	GO:0003057	regulation of the force of heart contraction by chemical signal	4	1.0
BP	GO:0048730	epidermis morphogenesis	2	1.0
BP	GO:0090283	regulation of protein glycosylation in Golgi	1	1.0
BP	GO:0099633	protein localization to postsynaptic specialization membrane	2	1.0
BP	GO:0051623	positive regulation of norepinephrine uptake	1	1.0
BP	GO:0060429	epithelium development	44	1.0
BP	GO:0045581	negative regulation of T cell differentiation	16	1.0
BP	GO:0032892	positive regulation of organic acid transport	6	1.0
BP	GO:0007018	microtubule-based movement	51	1.0
BP	GO:0051901	positive regulation of mitochondrial depolarization	3	1.0
BP	GO:0003084	positive regulation of systemic arterial blood pressure	4	1.0
BP	GO:0032231	regulation of actin filament bundle assembly	33	1.0
BP	GO:0010996	response to auditory stimulus	4	1.0
BP	GO:0032253	dense core granule localization	2	1.0
BP	GO:1901626	regulation of postsynaptic membrane organization	4	1.0
BP	GO:0007548	sex differentiation	7	1.0
BP	GO:0090286	cytoskeletal anchoring at nuclear membrane	1	1.0
BP	GO:1905395	response to flavonoid	1	1.0
BP	GO:0031536	positive regulation of exit from mitosis	2	1.0
BP	GO:0061684	chaperone-mediated autophagy	2	1.0
BP	GO:0046794	transport of virus	8	1.0
BP	GO:0060382	regulation of DNA strand elongation	1	1.0
BP	GO:0032735	positive regulation of interleukin-12 production	23	1.0
BP	GO:0072656	maintenance of protein location in mitochondrion	4	1.0
BP	GO:0018119	peptidyl-cysteine S-nitrosylation	4	1.0
BP	GO:1901136	carbohydrate derivative catabolic process	27	1.0
BP	GO:0042474	middle ear morphogenesis	5	1.0
BP	GO:0034968	histone lysine methylation	37	1.0
BP	GO:0032508	DNA duplex unwinding	36	1.0
BP	GO:0071371	cellular response to gonadotropin stimulus	6	1.0
BP	GO:1904383	response to sodium phosphate	1	1.0
BP	GO:1905000	regulation of membrane repolarization during atrial cardiac muscle cell action potential	1	1.0
BP	GO:0032643	regulation of connective tissue growth factor production	1	1.0
BP	GO:0071168	protein localization to chromatin	11	1.0
BP	GO:0046148	pigment biosynthetic process	7	1.0
BP	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	17	1.0
BP	GO:0048490	anterograde synaptic vesicle transport	1	1.0
BP	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	16	1.0
BP	GO:0021782	glial cell development	18	1.0
BP	GO:0010002	cardioblast differentiation	3	1.0
BP	GO:0045494	photoreceptor cell maintenance	10	1.0
BP	GO:0002439	chronic inflammatory response to antigenic stimulus	2	1.0
BP	GO:0032620	interleukin-17 production	1	1.0
BP	GO:0048302	regulation of isotype switching to IgG isotypes	11	1.0
BP	GO:0050482	arachidonic acid secretion	4	1.0
BP	GO:0097112	gamma-aminobutyric acid receptor clustering	1	1.0
BP	GO:0000154	rRNA modification	5	1.0
BP	GO:0061687	detoxification of inorganic compound	1	1.0
BP	GO:0032732	positive regulation of interleukin-1 production	24	1.0
BP	GO:0035929	steroid hormone secretion	1	1.0
BP	GO:0010269	response to selenium ion	1	1.0
BP	GO:0000409	regulation of transcription by galactose	1	1.0
BP	GO:0000711	meiotic DNA repair synthesis	1	1.0
BP	GO:0072179	nephric duct formation	1	1.0
BP	GO:0010998	regulation of translational initiation by eIF2 alpha phosphorylation	1	1.0
BP	GO:0071462	cellular response to water stimulus	1	1.0
BP	GO:2000434	regulation of protein neddylation	1	1.0
BP	GO:0051257	meiotic spindle midzone assembly	1	1.0
BP	GO:0044313	protein K6-linked deubiquitination	2	1.0
BP	GO:0032831	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	2	1.0
BP	GO:1905451	positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis	2	1.0
BP	GO:0032658	regulation of interleukin-15 production	1	1.0
BP	GO:0010716	negative regulation of extracellular matrix disassembly	2	1.0
BP	GO:0036506	maintenance of unfolded protein	1	1.0
BP	GO:0098989	NMDA selective glutamate receptor signaling pathway	1	1.0
BP	GO:0045657	positive regulation of monocyte differentiation	5	1.0
BP	GO:1903976	negative regulation of glial cell migration	1	1.0
BP	GO:0050861	positive regulation of B cell receptor signaling pathway	3	1.0
BP	GO:0070536	protein K63-linked deubiquitination	4	1.0
BP	GO:0097402	neuroblast migration	1	1.0
BP	GO:0070936	protein K48-linked ubiquitination	21	1.0
BP	GO:0060343	trabecula formation	7	1.0
BP	GO:0042130	negative regulation of T cell proliferation	32	1.0
BP	GO:0005988	lactose metabolic process	1	1.0
BP	GO:0050716	positive regulation of interleukin-1 secretion	16	1.0
BP	GO:0021795	cerebral cortex cell migration	10	1.0
BP	GO:0006661	phosphatidylinositol biosynthetic process	42	1.0
BP	GO:0030851	granulocyte differentiation	11	1.0
BP	GO:1905709	negative regulation of membrane permeability	2	1.0
BP	GO:0048333	mesodermal cell differentiation	10	1.0
BP	GO:2000546	positive regulation of endothelial cell chemotaxis to fibroblast growth factor	2	1.0
BP	GO:0055070	copper ion homeostasis	7	1.0
BP	GO:0060973	cell migration involved in heart development	5	1.0
BP	GO:0060369	positive regulation of Fc receptor mediated stimulatory signaling pathway	3	1.0
BP	GO:1900107	regulation of nodal signaling pathway	2	1.0
BP	GO:0001828	inner cell mass cellular morphogenesis	2	1.0
BP	GO:0036462	TRAIL-activated apoptotic signaling pathway	2	1.0
BP	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	29	1.0
BP	GO:0046710	GDP metabolic process	5	1.0
BP	GO:0002573	myeloid leukocyte differentiation	54	1.0
BP	GO:1902170	cellular response to reactive nitrogen species	14	1.0
BP	GO:2000733	regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation	1	1.0
BP	GO:0006650	glycerophospholipid metabolic process	79	1.0
BP	GO:0034476	U5 snRNA 3'-end processing	1	1.0
BP	GO:0002865	negative regulation of acute inflammatory response to antigenic stimulus	2	1.0
BP	GO:0045686	negative regulation of glial cell differentiation	7	1.0
BP	GO:1900029	positive regulation of ruffle assembly	6	1.0
BP	GO:0071872	cellular response to epinephrine stimulus	5	1.0
BP	GO:0034553	mitochondrial respiratory chain complex II assembly	1	1.0
BP	GO:1904672	regulation of somatic stem cell population maintenance	2	1.0
BP	GO:1904992	positive regulation of adenylate cyclase-inhibiting dopamine receptor signaling pathway	1	1.0
BP	GO:0016180	snRNA processing	9	1.0
BP	GO:0071696	ectodermal placode development	1	1.0
BP	GO:0006538	glutamate catabolic process	3	1.0
BP	GO:0000710	meiotic mismatch repair	4	1.0
BP	GO:0035115	embryonic forelimb morphogenesis	6	1.0
BP	GO:0032416	negative regulation of sodium:proton antiporter activity	2	1.0
BP	GO:0030299	intestinal cholesterol absorption	4	1.0
BP	GO:0072429	response to intra-S DNA damage checkpoint signaling	2	1.0
BP	GO:0061626	pharyngeal arch artery morphogenesis	4	1.0
BP	GO:0016925	protein sumoylation	22	1.0
BP	GO:0060443	mammary gland morphogenesis	2	1.0
BP	GO:0060158	phospholipase C-activating dopamine receptor signaling pathway	2	1.0
BP	GO:0016447	somatic recombination of immunoglobulin gene segments	19	1.0
BP	GO:0071477	cellular hypotonic salinity response	1	1.0
BP	GO:0032759	positive regulation of TRAIL production	2	1.0
BP	GO:0001773	myeloid dendritic cell activation	16	1.0
BP	GO:0048713	regulation of oligodendrocyte differentiation	16	1.0
BP	GO:0021952	central nervous system projection neuron axonogenesis	6	1.0
BP	GO:0070487	monocyte aggregation	3	1.0
BP	GO:0051142	positive regulation of NK T cell proliferation	1	1.0
BP	GO:0051944	positive regulation of catecholamine uptake involved in synaptic transmission	2	1.0
BP	GO:0002588	positive regulation of antigen processing and presentation of peptide antigen via MHC class II	1	1.0
BP	GO:1901726	negative regulation of histone deacetylase activity	1	1.0
BP	GO:0097581	lamellipodium organization	20	1.0
BP	GO:1904850	negative regulation of establishment of protein localization to telomere	1	1.0
BP	GO:0060330	regulation of response to interferon-gamma	14	1.0
BP	GO:0009439	cyanate metabolic process	1	1.0
BP	GO:0045919	positive regulation of cytolysis	2	1.0
BP	GO:0010884	positive regulation of lipid storage	6	1.0
BP	GO:1905078	positive regulation of interleukin-17 secretion	2	1.0
BP	GO:0016240	autophagosome membrane docking	4	1.0
BP	GO:0016198	axon choice point recognition	4	1.0
BP	GO:0070601	centromeric sister chromatid cohesion	5	1.0
BP	GO:0043523	regulation of neuron apoptotic process	94	1.0
BP	GO:0021695	cerebellar cortex development	2	1.0
BP	GO:0043380	regulation of memory T cell differentiation	4	1.0
BP	GO:0072672	neutrophil extravasation	2	1.0
BP	GO:0033687	osteoblast proliferation	1	1.0
BP	GO:1990637	response to prolactin	1	1.0
BP	GO:1900122	positive regulation of receptor binding	5	1.0
BP	GO:0080033	response to nitrite	1	1.0
BP	GO:0046640	regulation of alpha-beta T cell proliferation	19	1.0
BP	GO:0052027	modulation by symbiont of host signal transduction pathway	1	1.0
BP	GO:1903405	protein localization to nuclear body	1	1.0
BP	GO:1903452	positive regulation of G1 to G0 transition	1	1.0
BP	GO:0045085	negative regulation of interleukin-2 biosynthetic process	1	1.0
BP	GO:0003429	growth plate cartilage chondrocyte morphogenesis	1	1.0
BP	GO:0072156	distal tubule morphogenesis	1	1.0
BP	GO:0055007	cardiac muscle cell differentiation	14	1.0
BP	GO:2000486	negative regulation of glutamine transport	1	1.0
BP	GO:0036371	protein localization to T-tubule	1	1.0
BP	GO:1901298	regulation of hydrogen peroxide-mediated programmed cell death	7	1.0
BP	GO:0006401	RNA catabolic process	72	1.0
BP	GO:0051798	positive regulation of hair follicle development	6	1.0
BP	GO:0006801	superoxide metabolic process	15	1.0
BP	GO:1904816	positive regulation of protein localization to chromosome, telomeric region	10	1.0
BP	GO:0001976	neurological system process involved in regulation of systemic arterial blood pressure	2	1.0
BP	GO:0043631	RNA polyadenylation	16	1.0
BP	GO:1900133	regulation of renin secretion into blood stream	1	1.0
BP	GO:0061763	multivesicular body-lysosome fusion	2	1.0
BP	GO:0002052	positive regulation of neuroblast proliferation	12	1.0
BP	GO:0010754	negative regulation of cGMP-mediated signaling	1	1.0
BP	GO:0002285	lymphocyte activation involved in immune response	41	1.0
BP	GO:0051096	positive regulation of helicase activity	6	1.0
BP	GO:0032292	peripheral nervous system axon ensheathment	4	1.0
BP	GO:0060430	lung saccule development	3	1.0
BP	GO:0033860	regulation of NAD(P)H oxidase activity	7	1.0
BP	GO:0006501	C-terminal protein lipidation	4	1.0
BP	GO:0019433	triglyceride catabolic process	3	1.0
BP	GO:0042271	susceptibility to natural killer cell mediated cytotoxicity	4	1.0
BP	GO:0072720	response to dithiothreitol	1	1.0
BP	GO:0044406	adhesion of symbiont to host	4	1.0
BP	GO:1905508	protein localization to microtubule organizing center	14	1.0
BP	GO:0048799	animal organ maturation	4	1.0
BP	GO:1904313	response to methamphetamine hydrochloride	1	1.0
BP	GO:0071044	histone mRNA catabolic process	5	1.0
BP	GO:1990845	adaptive thermogenesis	7	1.0
BP	GO:0033341	regulation of collagen binding	1	1.0
BP	GO:0006024	glycosaminoglycan biosynthetic process	8	1.0
BP	GO:0097532	stress response to acid chemical	2	1.0
BP	GO:0001654	eye development	23	1.0
BP	GO:0032355	response to estradiol	63	1.0
BP	GO:1903381	regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	1	1.0
BP	GO:0030002	cellular anion homeostasis	4	1.0
BP	GO:0071630	nuclear protein quality control by the ubiquitin-proteasome system	1	1.0
BP	GO:0051281	positive regulation of release of sequestered calcium ion into cytosol	18	1.0
BP	GO:0045404	positive regulation of interleukin-4 biosynthetic process	1	1.0
BP	GO:0051643	endoplasmic reticulum localization	3	1.0
BP	GO:0035456	response to interferon-beta	11	1.0
BP	GO:0007093	mitotic cell cycle checkpoint	55	1.0
BP	GO:1904263	positive regulation of TORC1 signaling	4	1.0
BP	GO:1902895	positive regulation of pri-miRNA transcription by RNA polymerase II	20	1.0
BP	GO:0021784	postganglionic parasympathetic fiber development	1	1.0
BP	GO:0000915	actomyosin contractile ring assembly	4	1.0
BP	GO:0070488	neutrophil aggregation	2	1.0
BP	GO:0090135	actin filament branching	3	1.0
BP	GO:1900363	regulation of mRNA polyadenylation	10	1.0
BP	GO:0099566	regulation of postsynaptic cytosolic calcium ion concentration	3	1.0
BP	GO:0035458	cellular response to interferon-beta	8	1.0
BP	GO:0051965	positive regulation of synapse assembly	14	1.0
BP	GO:1904849	positive regulation of cell chemotaxis to fibroblast growth factor	2	1.0
BP	GO:1901552	positive regulation of endothelial cell development	1	1.0
BP	GO:2000343	positive regulation of chemokine (C-X-C motif) ligand 2 production	3	1.0
BP	GO:0060748	tertiary branching involved in mammary gland duct morphogenesis	2	1.0
BP	GO:1901525	negative regulation of mitophagy	1	1.0
BP	GO:0021537	telencephalon development	5	1.0
BP	GO:0060398	regulation of growth hormone receptor signaling pathway	2	1.0
BP	GO:0000819	sister chromatid segregation	18	1.0
BP	GO:2000641	regulation of early endosome to late endosome transport	9	1.0
BP	GO:0099183	trans-synaptic signaling by BDNF, modulating synaptic transmission	1	1.0
BP	GO:0005985	sucrose metabolic process	1	1.0
BP	GO:0045583	regulation of cytotoxic T cell differentiation	1	1.0
BP	GO:1901798	positive regulation of signal transduction by p53 class mediator	7	1.0
BP	GO:0051030	snRNA transport	3	1.0
BP	GO:0046320	regulation of fatty acid oxidation	11	1.0
BP	GO:0072308	negative regulation of metanephric nephron tubule epithelial cell differentiation	1	1.0
BP	GO:0097320	plasma membrane tubulation	4	1.0
BP	GO:0000414	regulation of histone H3-K36 methylation	5	1.0
BP	GO:0010389	regulation of G2/M transition of mitotic cell cycle	89	1.0
BP	GO:0061885	positive regulation of mini excitatory postsynaptic potential	1	1.0
BP	GO:0046716	muscle cell cellular homeostasis	8	1.0
BP	GO:0038128	ERBB2 signaling pathway	20	1.0
BP	GO:0003197	endocardial cushion development	5	1.0
BP	GO:0043583	ear development	4	1.0
BP	GO:0002679	respiratory burst involved in defense response	2	1.0
BP	GO:0061564	axon development	10	1.0
BP	GO:0031123	RNA 3'-end processing	47	1.0
BP	GO:0071220	cellular response to bacterial lipoprotein	3	1.0
BP	GO:0006430	lysyl-tRNA aminoacylation	1	1.0
BP	GO:1904156	DN3 thymocyte differentiation	1	1.0
BP	GO:0030852	regulation of granulocyte differentiation	7	1.0
BP	GO:0072393	microtubule anchoring at microtubule organizing center	5	1.0
BP	GO:1903859	regulation of dendrite extension	4	1.0
BP	GO:0007621	negative regulation of female receptivity	1	1.0
BP	GO:0006924	activation-induced cell death of T cells	2	1.0
BP	GO:0052422	modulation by host of symbiont catalytic activity	2	1.0
BP	GO:0051945	negative regulation of catecholamine uptake involved in synaptic transmission	1	1.0
BP	GO:0003159	morphogenesis of an endothelium	7	1.0
BP	GO:0070093	negative regulation of glucagon secretion	1	1.0
BP	GO:0048819	regulation of hair follicle maturation	2	1.0
BP	GO:1903385	regulation of homophilic cell adhesion	2	1.0
BP	GO:0033087	negative regulation of immature T cell proliferation	2	1.0
BP	GO:0070417	cellular response to cold	2	1.0
BP	GO:0032525	somite rostral/caudal axis specification	2	1.0
BP	GO:0022406	membrane docking	72	1.0
BP	GO:0019413	acetate biosynthetic process	1	1.0
BP	GO:0051029	rRNA transport	2	1.0
BP	GO:0018101	protein citrullination	1	1.0
BP	GO:0002032	desensitization of G protein-coupled receptor signaling pathway by arrestin	2	1.0
BP	GO:1900738	positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway	1	1.0
BP	GO:0043503	skeletal muscle fiber adaptation	1	1.0
BP	GO:0061188	negative regulation of chromatin silencing at rDNA	1	1.0
BP	GO:0009651	response to salt stress	8	1.0
BP	GO:0009435	NAD biosynthetic process	9	1.0
BP	GO:0071038	nuclear polyadenylation-dependent tRNA catabolic process	2	1.0
BP	GO:0034197	triglyceride transport	1	1.0
BP	GO:0035604	fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow	1	1.0
BP	GO:0019919	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine	2	1.0
BP	GO:0106001	intestinal hexose absorption	1	1.0
BP	GO:0021702	cerebellar Purkinje cell differentiation	2	1.0
BP	GO:0009261	ribonucleotide catabolic process	5	1.0
BP	GO:0071709	membrane assembly	6	1.0
BP	GO:0097205	renal filtration	3	1.0
BP	GO:0010459	negative regulation of heart rate	1	1.0
BP	GO:0022616	DNA strand elongation	12	1.0
BP	GO:0019748	secondary metabolic process	6	1.0
BP	GO:0051344	negative regulation of cyclic-nucleotide phosphodiesterase activity	2	1.0
BP	GO:0031061	negative regulation of histone methylation	12	1.0
BP	GO:0009306	protein secretion	43	1.0
BP	GO:0035669	TRAM-dependent toll-like receptor 4 signaling pathway	2	1.0
BP	GO:0045124	regulation of bone resorption	15	1.0
BP	GO:0075522	IRES-dependent viral translational initiation	5	1.0
BP	GO:0046514	ceramide catabolic process	1	1.0
BP	GO:1902546	positive regulation of DNA N-glycosylase activity	1	1.0
BP	GO:1904955	planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation	1	1.0
BP	GO:0007217	tachykinin receptor signaling pathway	2	1.0
BP	GO:0045627	positive regulation of T-helper 1 cell differentiation	3	1.0
BP	GO:0032958	inositol phosphate biosynthetic process	2	1.0
BP	GO:0007050	cell cycle arrest	77	1.0
BP	GO:0045830	positive regulation of isotype switching	19	1.0
BP	GO:0043949	regulation of cAMP-mediated signaling	22	1.0
BP	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	3	1.0
BP	GO:1990049	retrograde neuronal dense core vesicle transport	2	1.0
BP	GO:0051340	regulation of ligase activity	4	1.0
BP	GO:0040034	regulation of development, heterochronic	4	1.0
BP	GO:2000696	regulation of epithelial cell differentiation involved in kidney development	6	1.0
BP	GO:0106046	guanine deglycation, glyoxal removal	1	1.0
BP	GO:0051026	chiasma assembly	2	1.0
BP	GO:1904116	response to vasopressin	2	1.0
BP	GO:0032203	telomere formation via telomerase	1	1.0
BP	GO:0061025	membrane fusion	41	1.0
BP	GO:0051403	stress-activated MAPK cascade	43	1.0
BP	GO:0035066	positive regulation of histone acetylation	22	1.0
BP	GO:2000773	negative regulation of cellular senescence	12	1.0
BP	GO:1902251	negative regulation of erythrocyte apoptotic process	1	1.0
BP	GO:1900543	negative regulation of purine nucleotide metabolic process	13	1.0
BP	GO:0060123	regulation of growth hormone secretion	5	1.0
BP	GO:0019752	carboxylic acid metabolic process	123	1.0
BP	GO:1905274	regulation of modification of postsynaptic actin cytoskeleton	4	1.0
BP	GO:0090110	cargo loading into COPII-coated vesicle	4	1.0
BP	GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	5	1.0
BP	GO:0010760	negative regulation of macrophage chemotaxis	1	1.0
BP	GO:0070987	error-free translesion synthesis	11	1.0
BP	GO:0035984	cellular response to trichostatin A	3	1.0
BP	GO:0021687	cerebellar molecular layer morphogenesis	1	1.0
BP	GO:0031062	positive regulation of histone methylation	24	1.0
BP	GO:0001109	promoter clearance during DNA-templated transcription	1	1.0
BP	GO:0014886	transition between slow and fast fiber	1	1.0
BP	GO:1902259	regulation of delayed rectifier potassium channel activity	2	1.0
BP	GO:0010807	regulation of synaptic vesicle priming	1	1.0
BP	GO:0098535	de novo centriole assembly involved in multi-ciliated epithelial cell differentiation	3	1.0
BP	GO:2000502	negative regulation of natural killer cell chemotaxis	2	1.0
BP	GO:0031668	cellular response to extracellular stimulus	111	1.0
BP	GO:0043096	purine nucleobase salvage	1	1.0
BP	GO:0031342	negative regulation of cell killing	12	1.0
BP	GO:2000706	negative regulation of dense core granule biogenesis	1	1.0
BP	GO:0090326	positive regulation of locomotion involved in locomotory behavior	1	1.0
BP	GO:0035809	regulation of urine volume	4	1.0
BP	GO:0071139	resolution of recombination intermediates	2	1.0
BP	GO:2000846	regulation of corticosteroid hormone secretion	4	1.0
BP	GO:0060915	mesenchymal cell differentiation involved in lung development	2	1.0
BP	GO:0071963	establishment or maintenance of cell polarity regulating cell shape	1	1.0
BP	GO:2000271	positive regulation of fibroblast apoptotic process	3	1.0
BP	GO:0022614	membrane to membrane docking	3	1.0
BP	GO:0010159	specification of animal organ position	1	1.0
BP	GO:2000344	positive regulation of acrosome reaction	1	1.0
BP	GO:0003007	heart morphogenesis	14	1.0
BP	GO:0070673	response to interleukin-18	2	1.0
BP	GO:1904268	positive regulation of Schwann cell chemotaxis	1	1.0
BP	GO:2000331	regulation of terminal button organization	1	1.0
BP	GO:0051176	positive regulation of sulfur metabolic process	2	1.0
BP	GO:0001814	negative regulation of antibody-dependent cellular cytotoxicity	1	1.0
BP	GO:1903671	negative regulation of sprouting angiogenesis	10	1.0
BP	GO:0045746	negative regulation of Notch signaling pathway	15	1.0
BP	GO:0021543	pallium development	1	1.0
BP	GO:0009799	specification of symmetry	12	1.0
BP	GO:0061036	positive regulation of cartilage development	12	1.0
BP	GO:0044830	modulation by host of viral RNA genome replication	1	1.0
BP	GO:0032652	regulation of interleukin-1 production	41	1.0
BP	GO:0042108	positive regulation of cytokine biosynthetic process	34	1.0
BP	GO:1903906	regulation of plasma membrane raft polarization	1	1.0
BP	GO:0035358	regulation of peroxisome proliferator activated receptor signaling pathway	7	1.0
BP	GO:1902850	microtubule cytoskeleton organization involved in mitosis	47	1.0
BP	GO:0060575	intestinal epithelial cell differentiation	3	1.0
BP	GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	4	1.0
BP	GO:1905953	negative regulation of lipid localization	23	1.0
BP	GO:0099639	neurotransmitter receptor transport, endosome to plasma membrane	4	1.0
BP	GO:0072695	regulation of DNA recombination at telomere	2	1.0
